,en,ar
0,light,ضوء
1,kind,طيب القلب
2,off,إيقاف
3,need,يحتاج
4,house,منزل
5,picture,صورة
6,try,محاولة
7,us,نحن
8,again,تكرارا
9,animal,حيوان
10,point,نقطة
11,mother,أم
12,world,العالمية
13,near,قرب
14,build,يبني
15,self,الذات
16,earth,الارض
17,father,الآب
18,any,أي
19,new,الجديد
20,work,الشغل
21,part,جزء
22,take,يأخذ
23,get,احصل على
24,place,مكان
25,made,مصنوع
26,live,يعيش
27,where,أين
28,after,بعد، بعدما
29,back,الى الخلف
30,little,القليل
31,only,فقط
32,round,مستدير
33,man,رجل
34,year,عام
35,came,أتى
36,show,مشاهده
37,every,كل
38,good,حسن
39,me,أنا
40,give,يعطى
41,our,لنا
42,under,تحت
43,name,اسم
44,very,جدا
45,through,عبر
46,just,مجرد
47,form,شكل
48,sentence,جملة او حكم على
49,great,رائعة
50,think,فكر في
51,say,قل
52,help,يساعد
53,low,قليل
54,line,خط
55,differ,اختلف
56,turn,منعطف أو دور
57,cause,لانى
58,much,كثير
59,mean,يقصد
60,before,قبل
61,move,نقل
62,right,حق
63,boy,صبي
64,old,قديم
65,too,جدا
66,same,نفس
67,she,هي
68,all,الكل
69,there,هناك
70,when,متي
71,up,فوق
72,use,استعمال
73,your,لك
74,way,طريق
75,about,حول
76,many,عديدة
77,then,من ثم
78,them,معهم
79,write,اكتب
80,would,سيكون
81,like,مثل
82,so,وبالتالي
83,these,هؤلاء
84,her,لها
85,long,طويل
86,make,صنع
87,thing,شيء
88,see,ارى
89,him,له
90,two,اثنين
91,has,لديها
92,look,بحث
93,more,أكثر
94,day,يوم
95,could,استطاع
96,go,يذهب
97,come,يأتي
98,did,فعلت
99,number,عدد
100,sound,يبدو
101,no,لا
102,most,عظم
103,people,اشخاص
104,my,لي
105,over,على
106,know,أعرف
107,water,ماء
108,than,من
109,call,مكالمة
110,first,أول
111,who,من الذى
112,may,قد
113,down,تحت
114,side,الجانب
115,been,كان
116,now,حاليا
117,find,تجد
118,head,رئيس
119,stand,يقف
120,own,ملك
121,page,صفحة
122,should,يجب
123,country,بلد
124,found,وجدت
125,answer,إجابه
126,school,مدرسة
127,grow,تنمو
128,study,دراسة
129,still,ساكن
130,learn,يتعلم
131,plant,مصنع
132,cover,غطاء، يغطي
133,food,غذاء
134,sun,الشمس
135,four,أربعة
136,between,ما بين
137,state,حالة
138,keep,احتفظ
139,eye,عين
140,never,أبدا
141,last,الاخير
142,let,يترك
143,thought,فكر
144,city,مدينة
145,tree,شجرة
146,cross,تعبر
147,farm,مزرعة
148,hard,الصعب
149,start,بداية
150,might,قد
151,story,قصة
152,saw,رأى
153,far,بعيد
154,sea,لحر
155,draw,يرسم
156,left,اليسار
157,late,متأخر
158,run,يركض
159,don’t,لا
160,while,في حين
161,press,صحافة
162,close,أغلق
163,night,ليل
164,real,حقيقة
165,life,الحياة
166,few,قليل
167,north,شمال
168,book,الكتاب
169,carry,احمل
170,took,أخذ
171,science,علم
172,eat,تأكل
173,room,مجال
174,friend,صديق
175,began,بدأت
176,idea,فكرة
177,fish,سمكة
178,mountain,جبل
179,stop,قف
180,once,بمجرد
181,base,يتمركز
182,hear,يسمع
183,horse,حصان
184,cut,يقطع
185,sure,بالتأكيد
186,watch,راقب
187,color,اللون
188,face,وجه
189,wood,خشب
190,main,الأساسية
191,open,افتح
192,seem,بدا
193,together,سويا
194,next,التالي
195,white,أبيض
196,children,الأطفال
197,begin,يبدأ
198,got,يملك
199,walk,يمشي
200,example,مثال
201,ease,يسهل
202,paper,ورق
203,group,مجموعة
204,always,دائما
205,music,موسيقى
206,those,أولئك
207,both,على حد سواء
208,mark,علامة
209,often,غالبا
210,letter,رسالة
211,until,حتى
212,mile,ميل
213,river,نهر
214,car,السيارات
215,feet,أقدام
216,care,رعاية
217,second,ثانيا
218,enough,يكفي
219,plain,عادي
220,girl,فتاة
221,usual,معتاد
222,young,صغيرة
223,ready,جاهز
224,above,فوق
225,ever,أبدا
226,red,أحمر
227,list,قائمة
228,though,على أية حال
229,feel,يشعر
230,talk,حديث
231,bird,عصفور
232,soon,هكذا
233,body,هيئة
234,dog,كلب
235,family,أسرة
236,direct,مباشرة
237,pose,يشير إلى
238,leave,غادر
239,song,أغنية
240,measure,قياس
241,door,باب
242,product,المنتج
243,black,أسود
244,short,قصيرة
245,numeral,الأرقام
246,class,صف دراسي
247,wind,ريح
248,question,سؤال
249,happen,يحدث
250,complete,مكتمل
251,ship,سفينة
252,area,منطقة
253,half,نصف
254,rock,صخر
255,order,ترتيب
256,fire,إطلاق النار
257,south,جنوب
258,problem,مشكلة
259,piece,قطعة
260,told,أخبر
261,knew,عرف
262,pass,يمر
263,since,حيث
264,top,أعلى
265,whole,كامل
266,king,ملك
267,street,شارع
268,inch,بوصة
269,multiply,تتضاعف
270,nothing,ولا شيء
271,course,مسار
272,stay,البقاء
273,wheel,عجلة
274,full,ممتلىء
275,force,فرض
276,blue,أزرق
277,object,موضوع
278,decide,قرر
279,surface,السطحية
280,deep,عميق
281,moon,قمر
282,island,جزيرة
283,foot,قدم
284,system,النظام
285,busy,مشغول
286,test,اختبار
287,record,سجل
288,boat,قارب
289,common,مشترك
290,gold,ذهب
291,possible,المستطاع
292,plane,طائرة
293,stead,مقر
294,dry,جاف
295,wonder,يتساءل
296,laugh,يضحك
297,thousand,ألف
298,ago,منذ
299,ran,جرى
300,check,التحقق من
301,game,لعبه
302,shape,شكل
303,equate,مساواة
304,hot,الحار
305,miss,يفتقد
306,brought,جلبت
307,heat,الحرارة
308,snow,ثلج
309,tire,إطار العجلة
310,bring,احضر
311,yes,نعم
312,distant,بعيدة
313,fill,يملأ
314,east,الشرق
315,paint,رسم
316,language,لغة
317,among,من بين
318,unit,وحدة
319,power,قوة
320,town,مدينة
321,fine,بخير
322,certain,المؤكد
323,fly,يطير
324,fall,تقع
325,lead,قيادة
326,cry,بكاء
327,dark,داكن
328,machine,آلة
329,note,ملاحظة
330,wait,انتظر
331,plan,خطة
332,figure,الشكل
333,star,نجمة
334,box,علبة
335,noun,اسم
336,field,حقل
337,rest,استراحة
338,correct,صيح
339,able,قادر
340,pound,جنيه
341,done,انتهى
342,beauty,جمال
343,drive,قائد
344,stood,وقف
345,contain,يحتوي
346,front,أمام
347,teach,يعلم
348,week,أسبوع
349,final,أخير
350,gave,أعطى
351,green,لون أخضر
352,oh,أوه
353,quick,بسرعة
354,develop,طور
355,ocean,محيط
356,warm,دافئ
357,free,مجانا
358,minute,دقيقة
359,strong,قوي
360,special,مميز
361,mind,عقل _ يمانع
362,behind,خلف
363,clear,صافي
364,tail,ذيل
365,produce,ينتج
366,fact,حقيقة
367,space,فضاء
368,heard,سمع
369,best,أفضل
370,hour,ساعة
371,better,أفضل
372,TRUE,حقيقية
373,during,خلال
374,hundred,مائة
375,five,خمسة
376,remember,تذكر
377,step,خطوة
378,early,مبكرا
379,hold,معلق
380,west,غرب
381,ground,أرض
382,interest,فائدة
383,reach,يصل
384,fast,بسرعة
385,verb,الفعل
386,sing,يغني
387,listen,استمع
388,six,ستة
389,table,طاولة
390,travel,السفر
391,less,أقل
392,morning,صباح
393,ten,عشرة
394,simple,بسيط
395,several,العديد من
396,vowel,حرف متحرك
397,toward,باتجاه
398,war,حرب
399,lay,يضع
400,against,ضد
401,pattern,نمط
402,slow,بطيء
403,center,المركز
404,love,حب
405,person,شخص
406,money,مال
407,serve,تخدم
408,appear,يظهر
409,road,طريق
410,map,خريطة
411,rain,مطر
412,rule,القاعدة
413,govern,حكم
414,pull,يحذب
415,cold,البرد
416,notice,تنويه
417,voice,صوت بشري
418,energy,طاقة
419,hunt,مطاردة
420,probable,محتمل
421,bed,سرير
422,brother,شقيق
423,egg,بيضة
424,ride,اركب
425,cell,زنزانة
426,believe,يصدق
427,perhaps,ربما
428,pick,قطف او يقطف
429,sudden,مفاجئ
430,count,عدد
431,square,مربع
432,reason,السبب
433,length,الطول
434,represent,تركيز
435,art,فن
436,subject,موضوعات
437,region,منطقة
438,size,بحجم
439,vary,يتغير
440,settle,تسوية
441,speak,تحدث
442,weight,وزن
443,general,جنرال لواء
444,ice,جليد
445,matter,شيء
446,circle,دائرة
447,pair,زوج
448,include,يشمل
449,divide,يقسم
450,syllable,مقطع لفظي
451,felt,شعور
452,grand,كبير
453,ball,كرة
454,yet,بعد
455,wave,موجة
456,drop,قطرة
457,heart,قلب
458,am,صباحا
459,present,هدية
460,heavy,ثقيل
461,dance,رقص
462,engine,محرك
463,position,موقع
464,arm,ذراع
465,wide,واسع
466,sail,ريشة
467,material,مواد
468,fraction,جزء
469,forest,غابة
470,sit,يجلس
471,race,العنصر
472,window,نافذة او شباك
473,store,متجر
474,summer,الصيف
475,train,يدرب
476,sleep,نايم
477,prove,إثبات
478,lone,وحيد
479,leg,رجل
480,exercise,ممارسه الرياضه
481,wall,حائط
482,catch,يمسك
483,mount,تتعدد
484,wish,يتمنى
485,sky,سماء
486,board,مجلس
487,joy,مرح
488,winter,شتاء
489,sat,جلس
490,written,مكتوب
491,wild,بري
492,instrument,أداة
493,kept,أبقى
494,glass,زجاج
495,grass,عشب
496,cow,بقرة
497,job,مهنة
498,edge,حافة
499,sign,لافتة
500,visit,يزور
501,past,ماضي
502,soft,لين
503,fun,مرح
504,bright,مشرق
505,gas,غاز
506,weather,طقس
507,month,شهر
508,million,مليون
509,bear,يتحمل
510,finish,ينهي
511,happy,سعيدة
512,hope,أمل
513,flower,زهرة
514,clothe,ممل
515,strange,غريب
516,gone,ذهب
517,trade,تجارة
518,melody,لحن
519,trip,رحلة قصيرة
520,office,مكتب
521,receive,تسلم
522,row,صف
523,mouth,فم
524,exact,بالضبط
525,symbol,رمز
526,die,موت
527,least,الأقل
528,trouble,مشكلة
529,shout,يصيح، يصرخ، صيحة
530,except,إلا
531,wrote,كتب
532,seed,بذرة
533,tone,نغمة، رنه
534,join,انضم
535,suggest,يقترح
536,clean,ينظف
537,break,استراحة
538,lady,سيدة
539,yard,حديقة منزل
540,rise,ترتفع
541,bad,سيء
542,blow,نفخ
543,oil,نفط
544,blood,دم
545,touch,لمس. اتصال. صلة
546,grew,نمت
547,cent,سنت
548,mix,مزج
549,team,فريق
550,wire,الأسلاك
551,cost,كلفة
552,lost,ضائع
553,brown,بنى
554,wear,يرتدي
555,garden,حديقة
556,equal,مساو
557,sent,أرسلت
558,choose,يختار
559,fell,يسقط
560,fit,لائق بدنيا
561,flow,تدفق
562,fair,عدل
563,bank,مصرف
564,collect,يجمع
565,save,حفظ
566,control,مراقبة
567,decimal,عدد عشري
568,ear,أذن
569,else,آخر
570,quite,الى حد كبير
571,broke,حطم
572,case,قضية
573,middle,وسط
574,kill,قتل
575,son,ابن
576,lake,بحيرة
577,moment,الوقت الحاضر
578,scale,مقياس
579,loud,بصوت عال
580,spring,الخريف
581,observe,يراقب
582,child,طفل
583,straight,مباشرة
584,consonant,حرف ساكن
585,nation,الأمة
586,dictionary,قاموس
587,milk,حليب
588,speed,سرعة
589,method,طريقة
590,organ,عضو
591,pay,يدفع
592,age,سن
593,section,الجزء
594,dress,فستان
595,cloud,غيم
596,surprise,مفاجئة
597,quiet,هادئ
598,stone,حجر
599,tiny,صغير الحجم
600,climb,تسلق
601,cool,بارد
602,design,التصميم
603,poor,مسكين
604,lot,قطعة أرض
605,experiment,تجربة
606,bottom,قاع
607,key,مفتاح
608,iron,حديد
609,single,غير مرتبطة
610,stick,عصا
611,flat,مسطحة
612,twenty,عشرون
613,skin,جلد
614,smile,ابتسامة
615,crease,تجعد
616,hole,الفجوة
617,jump,القفز
618,baby,طفل
619,eight,ثمانية
620,village,قرية
621,meet,يجتمع
622,root,جذر
623,buy,يشترى
624,raise,رفع
625,solve,يحل
626,metal,فلز
627,whether,سواء
628,push,يدفع
629,seven,سبعة
630,paragraph,فقرة
631,third,الثالث
632,shall,سوف
633,held,مقبض
634,hair,شعر
635,describe,يصف
636,cook,يطبخ
637,floor,أرضية
638,either,إما
639,result,نتيجة
640,burn,يحرق
641,hill,تلة
642,safe,آمنة
643,cat,قط
644,century,مئة عام
645,consider,انصح
646,type,نوع
647,law,قانون
648,bit,قليل
649,coast,ساحل
650,copy,ينسخ
651,phrase,العبارة
652,silent,صامتة
653,tall,طويل
654,sand,رمل
655,soil,تربة
656,roll,لفافة
657,temperature,درجة الحرارة
658,finger,اصبع اليد
659,industry,صناعة
660,value,القيمة
661,fight,يعارك
662,lie,راحه
663,beat,تغلب
664,excite,تثير
665,natural,طبيعي >> صفة
666,view,عرض
667,sense,يشعر
668,capital,رأس المال
669,won’t,متعود
670,chair,كرسي
671,danger,خطر
672,fruit,فاكهة
673,rich,ثري
674,thick,سميك
675,soldier,جندي
676,process,معالجة
677,operate,العمل
678,practice,حاجة
679,separate,منفصل
680,difficult,صعبة
681,doctor,طبيب
682,please,من فضلك
683,protect,يحمي
684,noon,وقت الظهيرة
685,crop,ا & قتصاص
686,modern,عصري
687,element,عنصر
688,hit,نجاح
689,student,طالب
690,corner,ركن
691,party,حفل
692,supply,إمداد
693,whose,ملك من
694,locate,حدد
695,ring,حلقة
696,character,اختلاف الشخصيات
697,insect,الحشرات
698,caught,القبض
699,period,فترة
700,indicate,يشير
701,radio,مذياع
702,spoke,سلك
703,atom,ذرة
704,human,بشري
705,history,التاريخ
706,effect,تأثير
707,electric,كهربائي
708,expect,توقع
709,bone,عظم
710,rail,سكة حديدية
711,imagine,يتصور
712,provide,يمد
713,agree,يوافق على
714,thus,هكذا
715,gentle,لطيف
716,woman,النساء
717,captain,قائد المنتخب
718,guess,خمن
719,necessary,من الضروري
720,sharp,حاد
721,wing,جناح
722,create,يزيد
723,neighbor,الجار
724,wash,غسل
725,bat,مضرب
726,rather,على الاصح
727,crowd,يحشد
728,corn,حبوب ذرة
729,compare,قارن
730,poem,قصيدة
731,string,سلسلة
732,bell,جرس
733,depend,تعتمد
734,meat,لحم
735,rub,فرك
736,tube,الة النفخ
737,famous,مشهور
738,dollar,دولار
739,stream,مجرى
740,fear,يخاف
741,sight,مشهد
742,thin,نحيف
743,triangle,مثلث
744,planet,كوكب
745,hurry,عجل
746,chief,رئيس
747,colony,مستعمرة
748,clock,ساعة
749,mine,الخاص بي
750,tie,ربطة عنق
751,enter,أدخل
752,major,رائد
753,fresh,طازج
754,search,بحث
755,send,يرسل
756,yellow,أصفر
757,gun,بندقية
758,allow,السماح
759,print,مطبعة
760,dead,في ذمة الله تعالى
761,spot,بقعة
762,desert,صحراء
763,suit,تناسب
764,current,تيار
765,lift,مصعد
766,rose,الوردة
767,arrive,يصل
768,master,رئيسي - سيد
769,track,مسار
770,parent,الأبوين
771,shore,دعم
772,division,قطاع
773,sheet,ورقة
774,substance,مستوى
775,favor,محاباة
776,connect,الاتصال
777,post,بريد
778,spend,أنفق
779,chord,وتر
780,fat,سمين
781,glad,مسرور
782,original,أصلي
783,share,شارك
784,station,محطة
785,dad,بابا
786,bread,خبز
787,charge,الشحنة
788,proper,سليم
789,bar,شريط
790,offer,يعرض
791,segment,قطعة
792,slave,شريحة
793,duck,بطة
794,instant,فوري
795,market,سوق
796,degree,الدرجة العلمية
797,populate,يسكن
798,chick,فتاة جميلة
799,dear,عزيزي
800,enemy,العدو
801,reply,الرد
802,drink,يشرب
803,occur,تحدث
804,support,الدعم
805,speech,خطاب
806,nature,طبيعة سجية
807,range,نطاق
808,steam,بخار
809,motion,حركة
810,path,طريق
811,liquid,السائل
812,log,سجل
813,meant,عنى
814,quotient,حاصل القسمة
815,teeth,أسنان
816,shell,صدفة
817,neck,رقبه
818,oxygen,الأكسجين
819,sugar,السكر
820,death,الموت
821,pretty,جميلة
822,skill,مهارة
823,women,النساء
824,season,الموسم
825,solution,المحلول
826,magnet,مغناطيس
827,silver,فضة
828,thank,شكر
829,branch,فرع
830,match,تطابق
831,suffix,لاحقة
832,especially,خصوصا
833,fig,تين
834,afraid,خائف
835,huge,تسربت
836,sister,أخت
837,steel,الصلب
838,discuss,مناقشة
839,forward,إلى الأمام
840,similar,مشابه
841,guide,يرشد
842,experience,خبرة
843,score,نتيجة
844,apple,تفاح
845,bought,اشترى
846,led,قاد
847,pitch,ملعب كورة قدم
848,coat,معطف
849,mass,كتلة
850,card,بطاقة
851,band,حافظة مسافة
852,rope,حبل
853,slip,ينزلق
854,win,يفوز
855,dream,حلم
856,evening,مساء
857,condition,شرط
858,feed,تغذية
859,tool,أداة
860,total,المجموع
861,basic,أساسي
862,smell,يشم
863,valley,الوادي
864,nor,ولا
865,double,مزدوج
866,seat,مقعد
867,continue,استمر
868,block,منع
869,chart,جدول
870,hat,قبعة
871,sell,يبيع
872,success,النجاح
873,company,شركة
874,subtract,طرح او خصم
875,event,حدث
876,particular,خاص
877,deal,صفقة
878,swim,السباحة
879,term,مصطلح
880,opposite,ضد
881,wife,زوجة
882,shoe,حذاء
883,shoulder,كتف
884,spread,الانتشار
885,arrange,رتب
886,camp,معسكر
887,invent,اخترع
888,cotton,القطن
889,born,ولد
890,determine,حدد
891,quart,الكوارت
892,nine,تسع
893,truck,شاحنة
894,noise,الضوضاء
895,level,مستوى
896,chance,صدفة
897,gather,يجتمع
898,shop,متجر
899,stretch,تمتد
900,throw,يرمي
901,shine,يلمع
902,property,خاصية
903,column,عمودي
904,molecule,مركب
905,select,تحديد
906,wrong,خاطئ
907,gray,رمادي
908,repeat,كرر
909,require,يتطلب
910,broad,واسع
911,prepare,إعداد
912,salt,ملح
913,nose,أنف
914,plural,جمع
915,anger,غضب
916,claim,مطالبة
917,continent,قارة
